"SPO2","PULSE"
"0","0"
"0","0"
"0","0"
"0","0"
"99","83"
"99","83"
"99","83"
"99","83"
"99","83"
"99","83"
"99","82"
"99","81"
"99","81"
"99","81"
"99","81"
"99","81"
"99","81"
"99","81"
"99","81"
"99","81"
"99","81"
"99","81"
"99","80"
"98","80"
"98","80"
"98","80"
"98","80"
"98","80"
"98","80"
"98","80"
"98","80"
"98","80"
"98","80"
"98","81"
"98","80"
"98","80"
"98","80"
"98","80"
"98","79"
"98","79"
"99","78"
"99","77"
"99","77"
"99","77"
"99","77"
"99","76"
"99","76"
"99","75"
"98","76"
"98","76"
"98","76"
"98","76"
"98","76"
"98","76"
"98","76"
"98","75"
"98","76"
"98","77"
"98","77"
"98","77"
"98","77"
"98","77"
"98","77"
"98","77"
"98","76"
"98","76"
"98","76"
"98","77"
"98","77"
"98","77"
"98","77"
"98","77"
"97","77"
"97","78"
"97","78"
"98","78"
"98","78"
"98","78"
"98","78"
"98","77"
"98","77"
"97","77"
"97","76"
"97","76"
"97","76"
"97","76"
"97","76"
"97","77"
"97","77"
"98","77"
"98","77"
"98","77"
"97","77"
"97","77"
"97","78"
"98","78"
"98","77"
"97","77"
"97","76"
"97","77"
"97","77"
"97","76"
"97","76"
"97","76"
"98","76"
"98","77"
"97","78"
"97","79"
"97","79"
"97","79"
"97","79"
"97","79"
"97","79"
"97","79"
"98","79"
"98","80"
"97","80"
"97","80"
"97","80"
"97","80"
"97","80"
"97","80"
"97","81"
"97","83"
"97","83"
"97","83"
"97","83"
"97","83"
"97","83"
"97","83"
"97","83"
"97","82"
"97","82"
"97","81"
"97","81"
"97","81"
"97","80"
"97","79"
"97","77"
"96","77"
"96","76"
"96","76"
"97","77"
"97","77"
"97","77"
"97","78"
"97","78"
"97","79"
"97","79"
"97","78"
"97","78"
"97","77"
"97","77"
"97","76"
"97","76"
"97","76"
"96","76"
"96","76"
"96","77"
"96","77"
"97","77"
"97","77"
"97","77"
"96","77"
"97","77"
"97","77"
"97","78"
"96","79"
"96","79"
"96","79"
"96","79"
"96","79"
"96","79"
"96","79"
"97","78"
"97","78"
"97","78"
"97","78"
"97","77"
"98","76"
"98","75"
"98","75"
"98","75"
"98","74"
"98","74"
"98","73"
"97","73"
"97","74"
"97","74"
"98","75"
"98","75"
"98","75"
"98","75"
"98","75"
"98","75"
"98","75"
"98","75"
"0","0"
"98","75"
"98","75"
"97","76"
"98","76"
"98","76"
"98","76"
"98","76"
"98","76"
"98","76"
"98","76"
"98","76"
"98","76"
"98","75"
"98","75"
"98","75"
"98","75"
"98","75"
"98","74"
"98","74"
"98","74"
"98","76"
"98","77"
"98","77"
"98","77"
"98","77"
"98","77"
