"SPO2","PULSE"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"99","86"
"99","86"
"99","84"
"99","84"
"99","83"
"99","81"
"98","76"
"98","75"
"98","75"
"99","74"
"99","73"
"99","73"
"99","71"
"99","70"
"99","70"
"99","69"
"99","68"
"99","68"
"99","67"
"99","67"
"99","67"
"99","66"
"99","66"
"99","66"
"99","66"
"99","66"
"99","66"
"99","66"
"99","66"
"99","66"
"99","67"
"99","66"
"99","67"
"99","67"
"99","67"
"99","68"
"99","68"
"99","68"
"99","68"
"99","67"
"99","67"
"99","68"
"99","67"
"99","67"
"99","67"
"99","67"
"99","67"
"99","67"
"99","66"
"99","67"
"99","67"
"99","67"
"99","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"97","66"
"97","66"
"97","66"
"97","66"
"97","67"
"97","67"
"97","67"
"97","67"
"98","67"
"98","67"
"98","67"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","65"
"98","65"
"98","65"
"98","65"
"98","65"
"98","65"
"98","65"
"98","65"
"98","65"
"98","65"
"98","65"
