"SPO2","PULSE"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"98","139"
"98","138"
"98","138"
"98","138"
"98","138"
"98","138"
"98","138"
"98","138"
"98","138"
"98","138"
"98","138"
"98","127"
"98","110"
"98","103"
"98","92"
"98","91"
"98","91"
"98","91"
"98","90"
"98","88"
"98","87"
"98","86"
"98","85"
"98","85"
"98","85"
"98","85"
"98","85"
"98","85"
"98","85"
"98","85"
"98","85"
"98","84"
"98","84"
"98","84"
"98","83"
"98","82"
"98","82"
"98","82"
"98","82"
"98","82"
"98","82"
"98","82"
"98","82"
"98","83"
"98","83"
"98","83"
"98","82"
"98","82"
"98","81"
"98","79"
"98","78"
"98","77"
"98","77"
"98","77"
"98","77"
"98","77"
"98","75"
"98","74"
"98","74"
"98","75"
"98","75"
"98","75"
"98","75"
"98","75"
"98","75"
"98","76"
"98","76"
"98","76"
"98","77"
"98","77"
"98","77"
"98","77"
"98","77"
"98","77"
"98","76"
"97","75"
"97","75"
"97","75"
"97","75"
"97","74"
"97","73"
"98","72"
"98","72"
"98","73"
"98","73"
"98","75"
"98","76"
"98","77"
"98","79"
"98","79"
"98","79"
"98","79"
"98","79"
"98","78"
"98","77"
"98","76"
"98","76"
"98","75"
"98","75"
"98","75"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","75"
"98","77"
"98","77"
"98","78"
"98","80"
"98","80"
"98","80"
"98","80"
"98","79"
"98","79"
"98","79"
"98","79"
"98","79"
"98","79"
"98","79"
"98","78"
"98","78"
"98","78"
"98","78"
"98","77"
"98","76"
"98","76"
"98","76"
"97","76"
"98","77"
"98","78"
"98","80"
"98","82"
"98","83"
"98","83"
"98","83"
"98","83"
"98","82"
"98","82"
"98","81"
"98","81"
"98","82"
"98","81"
"98","81"
"98","80"
"98","79"
"97","77"
"97","76"
"96","76"
"96","75"
"96","75"
"96","73"
"96","73"
"96","73"
"96","73"
"97","75"
"97","75"
"97","76"
"98","78"
"98","79"
"98","80"
"98","80"
"98","79"
"98","79"
"98","79"
"98","78"
"98","77"
"98","77"
"98","77"
"97","77"
"97","77"
"97","79"
"97","80"
"97","80"
"98","81"
"98","80"
"98","80"
"98","80"
"98","79"
"97","79"
"97","79"
"97","79"
"97","79"
"97","79"
"96","78"
"96","77"
"95","77"
"95","76"
"95","75"
"95","75"
"95","76"
"96","77"
"96","78"
"97","79"
"97","81"
"98","81"
"98","81"
"98","81"
"98","80"
"97","80"
"97","80"
"97","79"
"97","78"
"97","78"
"97","77"
"97","77"
"96","77"
