"SPO2","PULSE"
"89","52"
"89","52"
"89","50"
"89","50"
"89","50"
"89","50"
"89","50"
"89","50"
"89","50"
"89","50"
"98","52"
"98","58"
"98","58"
"98","58"
"98","65"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","73"
"98","73"
"98","72"
"98","73"
"98","73"
"98","73"
"98","72"
"98","72"
"98","71"
"98","71"
"98","71"
"98","70"
"98","70"
"98","70"
"98","70"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","68"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","65"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","67"
"98","67"
"98","68"
"98","68"
"98","68"
"98","68"
"98","68"
"98","68"
"98","68"
"98","68"
"98","68"
"98","68"
"98","68"
"98","68"
"98","68"
"98","68"
"98","68"
"98","68"
"98","68"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","68"
"98","68"
"98","69"
"98","69"
"98","69"
"98","70"
"98","70"
"98","70"
"98","70"
"98","70"
"98","70"
"98","70"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","70"
"98","70"
"98","69"
"98","69"
"98","68"
"98","68"
"98","68"
"98","68"
"98","68"
"98","67"
"98","66"
"98","66"
"98","67"
"98","67"
"98","67"
"98","68"
"98","69"
"98","70"
"98","70"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","70"
"98","70"
"98","70"
"98","70"
"98","70"
"98","70"
"98","70"
"98","70"
"98","70"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","68"
"98","68"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","68"
"98","69"
"98","69"
"98","70"
"98","70"
"98","70"
"98","70"
"98","70"
"99","69"
"99","68"
"99","68"
"99","68"
"98","68"
"98","68"
"98","69"
"98","69"
"98","70"
"98","71"
"98","71"
"98","72"
"98","72"
"98","71"
"98","71"
"98","70"
"97","69"
"97","68"
"97","68"
"97","68"
"97","67"
"97","68"
"97","68"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"98","69"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","69"
"97","70"
"97","70"
"97","69"
"98","68"
"98","67"
"98","67"
"98","67"
"98","67"
"98","67"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"98","66"
"97","66"
"97","66"
"97","66"
"97","66"
"98","66"
"98","67"
"98","68"
"98","68"
"98","68"
"98","68"
"98","68"
"98","69"
"98","69"
"98","70"
"98","70"
"98","70"
"98","70"
"98","70"
"98","70"
"98","70"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","72"
"98","73"
"98","73"
"98","73"
"98","73"
"98","73"
"98","73"
"98","73"
"98","73"
"98","73"
"98","73"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"98","74"
"97","74"
"97","74"
"97","74"
"97","74"
"97","74"
"97","74"
"97","74"
"97","74"
"97","74"
"97","72"
"97","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","70"
"98","71"
"98","72"
"98","72"
"98","72"
"98","71"
"98","71"
"98","70"
"97","70"
"97","70"
