"SPO2","PULSE"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"98","71"
"98","71"
"98","72"
"98","72"
"98","72"
"98","80"
"98","90"
"98","89"
"98","89"
"98","88"
"98","88"
"98","88"
"98","88"
"98","88"
"98","88"
"98","89"
"98","90"
"98","91"
"98","93"
"98","94"
"98","94"
"98","94"
"98","95"
"98","95"
"98","95"
"98","95"
"98","95"
"98","95"
"98","95"
"98","95"
"98","95"
"98","95"
"98","93"
"98","87"
"98","87"
"98","87"
"98","87"
"98","84"
"98","79"
"98","77"
"98","76"
"98","74"
"98","73"
"98","73"
"98","73"
"98","74"
"98","74"
"98","73"
"98","73"
"98","73"
"98","73"
"98","73"
"98","73"
"98","73"
"98","74"
"98","74"
"98","75"
"98","75"
"98","75"
"98","75"
"98","75"
"98","75"
"98","75"
"98","74"
"98","74"
"98","74"
"98","73"
"98","73"
"98","72"
"98","72"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"98","71"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","69"
"97","69"
"97","69"
"97","69"
"97","69"
"97","69"
"97","69"
"97","69"
"97","69"
"97","69"
"97","70"
"97","69"
"97","69"
"97","70"
"97","70"
"97","70"
"97","69"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","71"
"97","71"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","70"
"97","71"
"96","71"
"96","71"
"96","71"
"96","71"
"96","71"
"96","71"
"96","70"
"97","71"
"97","71"
"97","71"
"97","72"
"97","73"
"97","73"
"98","73"
"98","73"
"98","73"
"98","72"
"98","72"
"98","72"
"98","72"
"98","72"
"98","73"
"98","72"
"98","72"
"98","72"
"97","72"
"97","72"
"97","72"
"97","72"
"97","71"
"97","71"
"97","72"
"97","72"
"97","72"
"97","72"
"97","72"
"97","72"
"97","73"
"97","73"
"97","73"
"97","73"
"97","73"
"97","73"
"97","73"
"97","74"
"97","74"
"97","73"
"97","73"
"97","72"
"97","72"
"97","72"
"97","71"
"97","71"
"97","71"
"97","71"
"97","71"
"97","71"
"97","71"
"97","71"
"97","71"
"97","71"
"97","71"
"97","72"
"97","71"
"97","71"
"97","71"
"97","71"
"97","71"
"97","71"
"97","71"
"97","71"
"97","71"
"97","71"
"97","71"
"97","70"
"97","70"
"97","70"
